"last_name, first_name","player_id","year","xwoba","xwobacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","iz_contact_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","f_strike_percent","flyballs_percent","linedrives_percent","sprint_speed"
"Gallagher, Cam","595956","2023",".173",".227",".225","82.5","17.3",2,20.4,"94.077365208","91.145200104",69.5,16.8,31.4,35.6,82.2,42.7,22.3,51.5,38.8,38.8,22.4,66.4,23.5,16.3,"25.4"
"Hedges, Austin","595978","2023",".253",".296",".294","87.2","15.4",0.7,31.1,"97.087257286","92.598786763",72,20,33.2,44.4,79.6,43.5,28,52.1,40.4,38.4,21.2,61.8,20.5,23.8,"24.5"
"Lindor, Francisco","596019","2023",".346",".388",".329","91.2","19.2",10.4,43.9,"100.821281314","94.916417775",70.3,16.1,27.2,38.8,83.9,42.9,22.8,48,44.7,35.4,19.9,60.5,31.4,24.2,"28.1"
"Odor, Rougned","596059","2023",".320",".365",".329","90.1","19.9",6.9,37.6,"99.290219","94.0237374",71.3,16.5,28.8,50,83.5,41,27.1,48.5,38.6,41.6,19.8,54.1,23.8,31.7,"26.8"
"Slater, Austin","596103","2023",".338",".429",".371","91.1","7.5",11.8,46.5,"101.910679365","95.591557937",63.8,20.9,22.2,52.7,77.9,43.8,29.5,42.3,33.1,33.1,33.9,62.3,26,22,"27.7"
"Story, Trevor","596115","2023",".266",".366",".322","88.5","15.5",9.7,39.8,"99.807338431","94.011833627",69.7,24.8,30.6,48.4,75.2,43,31.7,50.8,35.9,36.9,27.2,64.3,25.2,26.2,"28.8"
"Stubbs, Garrett","596117","2023",".207",".213",".217","83.4","22.4",0,17.6,"93.635939189","90.852312703",63.2,13.7,31.1,39.2,83,42.3,22.4,46.8,38.8,35.3,25.9,64.8,21.2,15.3,"28.1"
"Vogelbach, Daniel","596129","2023",".324",".376",".324","91.7","14.5",9.3,50,"101.166799794","95.217899227",50.9,13.4,21.4,40.8,86.6,41.9,21.6,36,39.7,36.1,24.2,55.5,26.8,23.2,"23.6"
"Sánchez, Gary","596142","2023",".343",".424",".322","90.1","16.5",15.4,44.6,"101.705364318","95.143946857",57.8,16.6,26.5,50.7,83.4,41.6,27.6,41.8,44,38.9,17.1,55.1,33.1,15.4,"24.9"
"Kepler, Max","596146","2023",".362",".428",".356","91.9","14.7",12.2,47.9,"102.056672262","95.65094244",70.2,11.9,24.9,41.9,88.1,43.5,19.8,47.5,43.2,35.7,21.1,62.1,31,25.6,"27.4"
"Choi, Ji Man","596847","2023",".349",".467",".360","93.4","11.9",19.7,59.2,"103.507719167","97.052984225",71.8,21,23.5,57.8,79,44.3,30.8,46.4,53.5,25.4,21.1,56.4,31,21.1,"24.9"
"Bradley Jr., Jackie","598265","2023",".246",".299",".259","88.1","5.3",7.8,35.1,"98.833141842","93.611215333",68.7,22.4,34.3,58.1,77.6,45.6,32.6,53.4,46.8,37.7,15.6,63.7,26,16.9,"27.1"
"Candelario, Jeimer","600869","2023",".318",".359",".313","88.3","14.1",7.9,36.4,"99.185208","93.708029184",68.1,16.1,28.3,42.3,83.9,42.6,24.2,47.4,42.9,34.6,22.5,57.9,28,25.1,"27.5"
"Urías, Ramón","602104","2023",".281",".333",".313","89.2","7.9",6.9,38.1,"99.139793769","93.685443346",68.9,20.2,28.5,50.2,79.8,42.8,28.7,49.1,38.1,37.7,24.2,67.4,20.4,22.3,"26.7"
"Ahmed, Nick","605113","2023",".263",".322",".308","85.2","12.8",2.7,31.5,"97.507589437","92.754850282",66.6,19.4,33.6,42.2,77.9,43.4,26.9,50.4,36.3,39,24.7,68.1,21.9,26,"28.1"
"Anderson, Brian","605119","2023",".316",".405",".352","87.6","9.9",10.3,37.1,"99.655808491","93.945080472",69.4,24.6,28.1,55.5,75.4,42.7,33.3,48.9,27.7,43.7,28.6,65.9,22.5,23,"26.4"
"Barnes, Austin","605131","2023",".273",".300",".284","84.8","6.1",2.9,25.4,"96.019005147","92.044198148",64.5,18.1,19.8,38,81.2,45.4,22.2,44,37.7,40.6,21.7,65,21.7,19.6,"26.5"
"Bell, Josh","605137","2023",".345",".403",".348","90.1","9.3",10.1,43,"101.611186796","94.955559951",70.8,17.2,27.8,44.8,82.8,44.4,25.8,47.7,43.5,31.7,24.8,57.9,26,21.4,"25.9"
"Betts, Mookie","605141","2023",".407",".437",".358","92.4","20.6",12.4,48.5,"100.865674689","95.28290971",60.3,8.2,16.6,46.1,91.8,41.2,16.7,38.1,45.4,35.3,19.3,59.5,35.7,29.3,"27.2"
"Caratini, Victor","605170","2023",".310",".344",".327","91.3","10.8",5,44.7,"101.5286345","95.04057195",65.8,15.1,22.6,40.7,84.9,48.2,21.1,45.3,39.6,44,16.4,59.3,20.1,21.4,"25.0"
"Davis, J.D.","605204","2023",".326",".410",".360","91.1","7.8",9.6,45.2,"101.437064311","95.258851108",79.1,26.8,26.5,56.2,73.2,42.5,34,53.1,38.9,33.5,27.5,65.2,20.4,23.1,"25.8"
"Castro, Harold","605612","2023",".263",".332",".323","86.2","10",3.1,28.7,"96.109616082","92.139749948",71.1,18,43.1,44.2,81.7,47.2,28.6,56.3,32.8,37.9,29.2,60.4,24.1,27.7,"26.5"
"Arcia, Orlando","606115","2023",".307",".345",".311","88.2","5.4",6.9,41.1,"99.189217927","93.735384508",65.4,17.7,26.4,41.2,82.3,42.9,24.3,46.2,39.8,35.5,24.7,63.2,20.8,19.5,"25.9"
"Tapia, Raimel","606132","2023",".297",".340",".311","85.4","1.6",6.4,34.5,"98.091692222","93.117951776",62.6,23.1,39.2,36.2,75.3,43.2,28.7,49.5,26.4,42.7,30.9,58.6,18.2,20,"28.7"
"Hernández, Teoscar","606192","2023",".336",".466",".388","91.3","12.3",13.8,49.4,"103.014681476","96.109592578",73,24.8,35.2,57.3,75.2,42.8,35.8,53.6,36.6,37.5,25.9,65.3,26.8,24.9,"28.6"
"Marte, Ketel","606466","2023",".342",".365",".330","91.1","10.7",8,42.8,"101.585403319","95.10445528",67.2,14.1,24.5,37.7,85.8,44.4,20.5,45.5,42.2,37.6,20.2,60.2,25.2,23,"27.7"
"Haase, Eric","606992","2023",".253",".322",".308","87.1","13.4",4.6,35.9,"98.489376289","93.341904124",72.2,22.6,36.3,52.2,77.4,44.9,32.6,54,38.5,37.4,24.1,64.4,22.6,24.6,"28.0"
"Nimmo, Brandon","607043","2023",".352",".400",".346","91.8","12.2",9.5,47.9,"101.50757","95.462726837",62.3,15.5,19.9,44.6,84.3,42.1,22,42.4,31,37,31.9,62.5,26.4,25.5,"28.0"
"Peterson, Jace","607054","2023",".287",".319",".294","85.7","14.4",4.7,28.1,"96.5144975","92.272958155",60.7,15.9,22.9,48.7,82.8,45,24.6,42.2,35.3,36.7,28.1,60.7,29.1,20.5,"28.0"
"Turner, Trea","607208","2023",".330",".394",".347","89.9","13",8.4,42.2,"100.292342286","94.550003245",74.2,17.8,35.3,50.5,82.2,41.9,29.6,53.1,35.9,40.6,23.5,64.9,30.6,23.7,"30.3"
"Pillar, Kevin","607680","2023",".295",".377",".336","87.9","17.8",8,38.7,"98.402506267","93.29131396",72.8,17.3,40.4,41.9,81.9,40.3,26.3,56.3,48.7,30.7,20.7,64.6,28.7,28,"28.2"
"Stallings, Jacob","607732","2023",".262",".288",".265","89.7","9.1",5.6,40.2,"98.748890698","93.710206784",59.4,12.8,22.6,48,86.6,40.4,22.6,40.9,34.1,36.3,29.6,60.9,27.4,21.2,"23.6"
"Ramírez, José","608070","2023",".359",".375",".338","90","18",7,40.4,"100.07775","94.35370079",67.2,8.8,28.2,30.2,91.2,42.6,15.6,46.6,49.6,30.5,19.9,54.6,28.5,26.3,"27.8"
"Bregman, Alex","608324","2023",".351",".344",".309","88.6","17.6",5.4,38.2,"98.071537732","93.248960689",61.1,8.7,18.6,30,91.3,41.7,14.1,38.7,40.8,37.1,22.2,60.7,31.1,25,"26.3"
"Gallo, Joey","608336","2023",".295",".454",".300","93","26.4",19.3,52.9,"104.361492143","97.127446835",71.6,34.3,25.9,68.2,65.5,42.8,44.3,47.1,57.9,21.4,20.7,60.4,41.4,14.3,"26.6"
"Kelly, Carson","608348","2023",".245",".281",".263","86.8","15.6",2.1,33,"97.454185918","92.779088763",63.8,25.4,26,42.9,74.1,42.8,30.2,45.6,33,39.2,27.8,59.6,25.8,22.7,"25.7"
"Seager, Corey","608369","2023",".412",".472",".383","93.3","13",15.2,53.2,"103.543493485","96.785948962",83.6,14.1,28.1,56,85.9,43.4,25,55.1,39,37,24.1,62,29.4,27.1,"26.2"
"Winker, Jesse","608385","2023",".287",".307",".293","86.8","13.6",4.3,31.9,"97.510447586","92.771752672",66.7,19.6,19.5,43.4,80.4,47.2,25.1,42.6,40.5,36.2,23.3,58.4,20.7,30.2,"23.5"
"Murphy, Tom","608596","2023",".351",".464",".377","89.5","13.7",14.6,44.7,"101.351947692","95.064785146",73.1,21.5,29.9,53.5,78.5,44.5,30.4,52.1,46.6,31.1,22.3,62.3,28.2,24.3,"26.0"
"Jankowski, Travis","608671","2023",".302",".293",".304","85.4","8.1",0,25.5,"95.420288039","91.716382549",58.4,10.3,16.1,29.1,88.3,43.2,14.1,38.2,30.8,39.4,29.8,59.6,18.8,23.6,"29.0"
"Refsnyder, Rob","608701","2023",".342",".358",".339","87.7","11.9",3.8,34.4,"98.411482208","93.313190455",61.1,19.6,18.6,34.8,80.4,42.4,23.1,40.1,39.5,40.8,19.7,58.4,19.7,29.9,"27.1"
