#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
405,Enmanuel Valdez,BOS,L,2B,2B,51,149,132,19.0,5.0,18.3,2.0,32.5,19.8,7.0,0.6,55.9,34.3,13.9,1.2,1.2,1.2,0.9,0.246,0.318,0.424,0.743,0.293,665839
406,Matt Thaiss,LAA,L,C,C,51,148,127,17.6,4.6,16.2,1.1,28.4,18.3,5.1,0.4,48.0,38.1,17.2,1.8,1.1,0.9,0.4,0.224,0.321,0.379,0.701,0.281,642136
407,Will Brennan,CLE,L,OF,OF,44,148,136,15.8,2.5,15.5,3.5,37.4,25.3,9.2,0.4,55.0,21.4,8.7,1.5,1.1,0.8,1.4,0.276,0.322,0.405,0.727,0.309,686823
408,Pablo Reyes,BOS,R,2B/SS,2B/SS,50,147,132,17.4,3.2,16.1,3.7,34.1,23.2,7.1,0.6,51.9,26.7,12.1,1.1,1.1,0.9,1.4,0.259,0.321,0.394,0.715,0.299,622569
409,Trevor Larnach,MIN,L,OF,OF,50,147,127,17.8,4.8,16.5,0.8,29.0,17.4,6.1,0.7,50.8,46.9,16.8,1.6,1.1,0.6,0.4,0.227,0.323,0.400,0.723,0.316,663616
410,Brooks Lee,MIN,S,SS,SS,44,147,133,16.6,3.0,15.4,1.4,32.7,21.0,8.2,0.6,51.0,27.2,11.4,1.2,1.1,0.9,0.6,0.247,0.308,0.384,0.692,0.287,686797
411,Victor Scott II,STL,L,OF,OF,47,147,134,16.5,2.2,14.2,11.5,33.7,24.6,5.9,1.0,48.2,27.8,9.2,1.9,1.1,0.9,3.9,0.252,0.305,0.360,0.666,0.301,687363
412,Ildemaro Vargas,WSH,S,3B,2B/SS/ 3B/OF,50,146,133,15.5,2.6,15.2,1.3,35.1,23.8,7.9,0.9,52.4,17.3,9.2,1.1,1.1,0.9,0.5,0.263,0.311,0.393,0.703,0.283,13324
413,Travis Jankowski,TEX,L,OF,OF,49,146,125,16.4,1.4,13.3,5.7,31.8,23.1,6.6,0.5,43.8,27.6,17.7,1.3,1.1,0.9,1.9,0.254,0.349,0.351,0.699,0.312,13768
414,Forrest Wall,ATL,L,DH,2B,51,146,130,17.7,2.1,14.7,9.4,30.9,21.7,6.1,1.0,45.4,40.1,12.5,1.6,1.1,0.9,2.8,0.237,0.308,0.349,0.657,0.323,657088
