#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
269,Andrew Nardi,MIA,RP,L,64.8,0.0,0.0,275.4,64.8,3.3,3.1,5,16,3.78,4.04,1.29,74.5,28.2,55.5,3.1,27.0,29.1,8,39.5,40.6,19.9,0.298,677053
270,Luis Garcia,LAA,RP,R,64.8,0.0,0.0,273.8,64.8,3.3,3.0,0,13,3.99,4.05,1.32,62.0,23.6,62.1,3.3,28.1,30.6,7,49.2,31.3,19.5,0.304,6984
271,Ryan Pressly,HOU,RP,R,64.8,0.0,0.0,270.0,64.8,3.6,2.7,5,19,3.40,3.26,1.17,74.3,19.6,56.3,2.3,24.5,26.8,7,46.9,33.4,19.7,0.292,7005
272,Kirby Yates,TEX,RP,R,64.8,0.0,0.0,279.4,64.8,3.3,3.0,0,16,4.24,4.13,1.31,73.6,31.8,53.3,3.2,29.3,31.5,9,38.4,41.4,20.1,0.271,9073
273,Joe Kelly,LAD,RP,R,64.8,0.0,0.0,270.9,64.8,3.8,2.6,0,19,3.03,3.12,1.22,82.9,27.4,51.7,3.1,22.3,24.6,6,51.1,29.6,19.3,0.301,9761
274,Hyun Jin Ryu,FA,SP,L,25.9,9.7,4.2,258.8,64.7,6.3,5.9,0,0,4.22,4.54,1.35,48.3,15.9,71.6,2.0,30.3,32.9,9,46.4,32.7,21.0,0.303,14444
275,Huascar Ynoa,ATL,SP,R,25.9,9.7,4.3,275.6,64.7,4.3,2.7,0,2,4.14,4.04,1.30,67.0,23.0,61.1,2.7,29.4,31.8,8,44.6,35.7,19.7,0.299,660623
276,Hayden Wesneski,CHC,RP,R,35.6,3.2,1.3,271.3,64.6,3.3,3.3,0,3,4.03,4.13,1.25,62.6,21.0,59.9,2.9,29.0,31.2,9,40.9,39.2,19.9,0.287,669713
277,Robbie Ray,SF,SP,L,12.9,12.9,5.8,273.9,64.5,3.5,3.7,0,0,4.11,4.13,1.25,69.6,21.9,58.5,2.4,30.3,32.4,10,37.0,42.8,20.1,0.287,11486
278,Ken Waldichuk,OAK,SP,L,20.4,10.2,4.0,279.5,64.3,2.9,4.2,0,1,4.34,4.63,1.39,61.1,28.3,61.4,3.7,32.1,34.4,9,39.5,40.3,20.1,0.293,686610
279,Buck Farmer,CIN,RP,R,58.3,0.0,0.0,279.5,64.1,3.1,3.2,0,13,4.81,4.83,1.39,62.5,28.3,60.9,2.9,32.0,34.3,11,37.9,41.9,20.1,0.280,14814
280,Trent Thornton,SEA,RP,R,58.3,0.0,0.0,278.8,64.1,3.0,3.3,0,15,4.52,4.56,1.35,57.3,23.4,63.3,2.5,32.8,35.1,10,38.9,41.1,19.9,0.283,663423
281,Jared Shuster,CHW,SP,L,23.8,10.6,3.9,279.9,64.1,2.7,4.4,0,1,4.92,5.20,1.48,46.5,26.1,68.6,2.0,35.0,37.4,11,41.0,38.4,20.6,0.291,694363
282,Noah Syndergaard,FA,SP,R,13.0,13.0,4.7,277.4,63.7,3.2,4.2,0,0,5.23,5.04,1.37,42.6,15.7,71.7,3.3,37.0,39.4,11,41.3,37.9,20.8,0.296,11762
283,Emerson Hancock,SEA,SP,R,25.9,9.7,3.6,278.9,63.7,3.3,3.8,0,2,4.78,4.96,1.40,52.0,22.3,66.6,3.1,34.5,36.8,11,40.3,39.3,20.4,0.289,676106
284,Josh Fleming,PIT,RP,L,35.6,3.2,1.2,271.3,63.6,3.1,3.3,0,6,4.22,4.67,1.50,36.5,19.1,76.0,2.2,29.8,32.8,6,55.8,23.7,20.5,0.320,676596
285,Nick Sandlin,CLE,RP,R,63.2,0.0,0.0,273.2,63.2,3.1,3.1,0,17,4.14,4.20,1.32,65.8,28.7,54.9,3.0,29.4,31.6,8,41.2,38.5,20.3,0.276,680704
